"Number","te"
"100","నూరు "
"25","ఇరవైఅయిదు"
"45","నలభైఅయిదు"
"67","అరవైఏడు"
"123","నూట ఇరవైమూడు"
"150","నూట యాభై"
"200","రెండువందలు "
"300","మూడువందలు "
"345","మూడువందల నలభైఅయిదు"
"301","మూడువందల ఒకటి"
"310","మూడువందల పది"
"390","మూడువందల తొంబై"
"500","అయిదువందలు "
"1000","ఒకవెయ్యి"
"999","తొమ్మిదివందల తొంబైతొమ్మిది"
"1001","ఒకవెయ్యి ఒకటి"
"1010","ఒకవెయ్యి పది"
"1100","ఒకవెయ్యి నూరు "
"1013","ఒకవెయ్యి పదమూడు"
"1310","ఒకవెయ్యి మూడువందల పది"
"200","రెండువందలు "
"1300","ఒకవెయ్యి మూడువందలు "
"1200","ఒకవెయ్యి రెండువందలు "
"1301","ఒకవెయ్యి మూడువందల ఒకటి"
"1310","ఒకవెయ్యి మూడువందల పది"
"1390","ఒకవెయ్యి మూడువందల తొంబై"
"1500","ఒకవెయ్యి అయిదువందలు "
"2000","రెండువేలు"
"2301","రెండువేల మూడువందల ఒకటి"
"2310","రెండువేల మూడువందల పది"
"2390","రెండువేల మూడువందల తొంబై"
"2500","రెండువేల అయిదువందలు "
"9000","తొమ్మిదివేలు"
"10000","పదివేలు"
"10100","పదివేల నూరు "
"10010","పదివేల పది"
"11000","పదకొండువేలు"
"11456","పదకొండువేల నాలుగువందల యాభైఆరు"
"11034","పదకొండువేల ముప్పైనాలుగు"
"50000","యాభైవేలు"
"50100","యాభైవేల నూరు "
"50010","యాభైవేల పది"
"51000","యాభైఒకటివేలు"
"51456","యాభైఒకటివేల నాలుగువందల యాభైఆరు"
"51034","యాభైఒకటివేల ముప్పైనాలుగు"
"100000","ఒకలక్ష"
"100010","ఒకలక్ష పది"
"100004","ఒకలక్ష నాలుగు"
"100013","ఒకలక్ష పదమూడు"
"100100","ఒకలక్ష నూరు "
"100033","ఒకలక్ష ముప్పైమూడు"
"100203","ఒకలక్ష రెండువందల మూడు"
"100210","ఒకలక్ష రెండువందల పది"
"1000000","పదిలక్షలు"
"1000006","పదిలక్షల ఆరు"
"1000016","పదిలక్షల పదహారు"
"1000024","పదిలక్షల ఇరవైనాలుగు"
"1000200","పదిలక్షల రెండువందలు "
"1000203","పదిలక్షల రెండువందల మూడు"
"1000100","పదిలక్షల నూరు "
"1000256","పదిలక్షల రెండువందల యాభైఆరు"
"1001256","పదిలక్షల ఒకవెయ్యి రెండువందల యాభైఆరు"
"10000000","ఒకకోటి"
"10000001","ఒకకోటి ఒకటి"
"10000010","ఒకకోటి పది"
"11000203","ఒకకోటి పదిలక్షల రెండువందల మూడు"
"11000100","ఒకకోటి పదిలక్షల నూరు "
"11000256","ఒకకోటి పదిలక్షల రెండువందల యాభైఆరు"
"11001256","ఒకకోటి పదిలక్షల ఒకవెయ్యి రెండువందల యాభైఆరు"
"10000000","ఒకకోటి"
"10000001","ఒకకోటి ఒకటి"
"10000010","ఒకకోటి పది"
